name,address,phone,state,country
Corwin Toyota,"222 South 40TH Street, Fargo, ND 58103",(701) 282-8425,ND,USA
Quality Toyota,"1125 W. Lincoln Avenue, Fergus Falls, MN 56537",(218) 998-1900,MN,USA
Lloyds Toyota,"500 17th St SW, Jamestown, ND 58401",(701) 252-4690,ND,USA
Minot Toyota Center,"3615 South Broadway, Minot, ND 58702",(701) 223-2190,ND,USA
